TZapr;SzaprX;SzaprY;SzaprZ;ZaprCurse_0;ZaprPitch;ZaprRoll;TOtv;SotvX;SotvY;SotvZ;OtvCurse;OtvPitch;OtvRoll;qZv;eZv;PriemAntX;PriemAntY;PriemAntZ;ZaprAntX;ZaprAntY;ZaprAntZ;Lp1;Lp2;Ls1;Ls2;val_q;val_e;val_t;Tetta;TettaZv;
65.308437;722196.600000;5675513.220000;23.030000;270.170000;1.800000;-0.730000;67.165903;722196.180000;5675513.130000;23.030000;270.080000;1.620000;-0.670000;354.090000;4.350000;722218.747725;5675504.103237;-4.959600;722219.240953;5675504.127577;-4.879093;503.961835;503.496447;504.259888;504.234809;357.014986;-11.980930;0.346272;13.186645;5.513266
69.311466;722195.390000;5675512.920000;23.030000;270.260000;0.470000;-0.140000;71.167062;722194.920000;5675512.920000;23.030000;270.250000;0.710000;-0.200000;354.030000;7.680000;722217.015401;5675504.063308;-5.387506;722217.364839;5675504.090040;-5.489128;502.119318;501.834928;502.410439;502.442134;356.602872;-12.627138;0.345156;13.183678;8.230442
73.312480;722193.390000;5675513.010000;23.030000;270.120000;1.460000;-0.660000;75.165905;722193.120000;5675512.890000;23.030000;270.220000;0.800000;-0.060000;353.970000;7.280000;722215.265213;5675504.114833;-5.374021;722215.873219;5675503.972643;-5.024116;500.914487;500.328996;501.204578;501.095066;356.523826;-12.565023;0.344121;13.251465;7.972334
77.313501;722192.120000;5675512.860000;23.030000;270.380000;0.430000;-0.120000;79.165114;722191.610000;5675512.960000;23.030000;270.430000;1.250000;-0.650000;354.090000;7.160000;722213.941093;5675503.806897;-5.107970;722214.056472;5675503.994186;-5.507536;499.186775;499.138875;499.470799;499.596182;356.444341;-12.503994;0.343288;13.379407;7.998939
81.314523;722190.790000;5675512.670000;23.030000;270.070000;0.930000;-0.580000;83.164607;722190.460000;5675512.480000;23.030000;270.170000;0.940000;0.200000;353.920000;8.480000;722212.683229;5675503.854329;-5.358876;722213.020883;5675503.692552;-5.243586;498.250622;497.981448;498.533509;498.497260;356.439415;-12.450622;0.342507;13.380715;9.412135
85.315545;722189.560000;5675512.890000;23.030000;270.290000;1.150000;-0.610000;87.164060;722189.210000;5675512.850000;23.030000;270.210000;0.990000;-0.820000;354.150000;8.480000;722211.447385;5675503.698303;-5.182543;722211.864475;5675503.811720;-5.153286;497.315009;496.899333;497.596055;497.586834;356.573134;-12.901973;0.341754;13.461813;9.011652
89.315558;722188.110000;5675512.410000;23.030000;270.160000;1.220000;0.090000;91.162577;722187.960000;5675512.600000;23.030000;270.160000;0.430000;-0.490000;354.150000;9.050000;722209.929408;5675503.633318;-5.450627;722210.472696;5675503.732642;-5.233327;496.047050;495.468380;496.324826;496.256221;356.441090;-13.298889;0.340786;13.471234;9.222781
93.317580;722187.020000;5675512.440000;23.030000;270.350000;0.960000;0.030000;95.163128;722186.760000;5675512.390000;23.030000;270.380000;1.120000;0.000000;353.920000;8.080000;722209.039287;5675503.582046;-5.258792;722209.224980;5675503.659233;-5.325588;494.903577;494.733366;495.178346;495.199484;356.142641;-12.548662;0.340270;13.563118;9.085649
97.317601;722185.980000;5675512.510000;23.030000;270.340000;0.980000;-0.800000;99.162174;722186.250000;5675512.650000;23.030000;270.270000;1.220000;-0.510000;354.030000;8.080000;722208.592626;5675503.629318;-5.141559;722208.191752;5675503.317882;-5.189593;493.916678;494.399079;494.189719;494.204958;356.338889;-12.702416;0.340034;13.636507;8.952260
101.317615;722185.530000;5675512.380000;23.030000;270.330000;0.710000;0.090000;103.161301;722185.490000;5675512.480000;23.030000;270.330000;0.170000;-0.220000;353.920000;9.000000;722207.304143;5675503.584000;-5.591788;722207.614395;5675503.637783;-5.431474;493.460407;493.119878;493.731448;493.680619;356.066975;-13.517237;0.339181;13.568796;9.055871
